Word ID: 2211, Count: 2
Word ID: 2215, Count: 1
Word ID: 2226, Count: 5
Word ID: 2243, Count: 1
Word ID: 2244, Count: 1
Word ID: 2259, Count: 13
Word ID: 2272, Count: 1
Word ID: 2277, Count: 20
Word ID: 2296, Count: 1
Word ID: 2304, Count: 2
Word ID: 2315, Count: 1
Word ID: 2318, Count: 2
Word ID: 2326, Count: 1
Word ID: 2331, Count: 1
Word ID: 2333, Count: 1
Word ID: 2343, Count: 1
Word ID: 2349, Count: 3
Word ID: 2367, Count: 4
Word ID: 2368, Count: 13
Word ID: 2377, Count: 1
Word ID: 2383, Count: 1
Word ID: 2387, Count: 1096
Word ID: 2393, Count: 1
Word ID: 2399, Count: 1
Word ID: 2408, Count: 1
Word ID: 2410, Count: 1
Word ID: 2425, Count: 4
Word ID: 2428, Count: 3
Word ID: 2450, Count: 1
Word ID: 2457, Count: 4
Word ID: 2464, Count: 1
Word ID: 2465, Count: 1
Word ID: 2491, Count: 1
Word ID: 2498, Count: 1
Word ID: 2504, Count: 1
Word ID: 2508, Count: 1
Word ID: 2515, Count: 1
Word ID: 2520, Count: 3
Word ID: 2539, Count: 2
Word ID: 2551, Count: 1
Word ID: 2577, Count: 2
Word ID: 2591, Count: 1
Word ID: 2593, Count: 2
Word ID: 2597, Count: 1
Word ID: 2602, Count: 3
Word ID: 2615, Count: 1
Word ID: 2616, Count: 1
Word ID: 2620, Count: 1
Word ID: 2630, Count: 1
Word ID: 2632, Count: 1
Word ID: 2646, Count: 1
Word ID: 2652, Count: 4
Word ID: 2653, Count: 1
Word ID: 2654, Count: 1
Word ID: 2658, Count: 10
Word ID: 2678, Count: 2
Word ID: 2679, Count: 3
Word ID: 2686, Count: 9
Word ID: 2714, Count: 1
Word ID: 2720, Count: 1
Word ID: 2724, Count: 1
Word ID: 2728, Count: 2
Word ID: 2729, Count: 1
Word ID: 2734, Count: 1
Word ID: 2761, Count: 1
Word ID: 2768, Count: 1
Word ID: 2794, Count: 6
Word ID: 2796, Count: 1
Word ID: 2797, Count: 7
Word ID: 2814, Count: 1
Word ID: 2828, Count: 1
Word ID: 2877, Count: 1
Word ID: 2878, Count: 18
Word ID: 2890, Count: 1
Word ID: 2891, Count: 2
Word ID: 2908, Count: 1
Word ID: 2923, Count: 1
Word ID: 2951, Count: 2
Word ID: 2956, Count: 1
Word ID: 2957, Count: 1
Word ID: 2962, Count: 2
Word ID: 2979, Count: 2
Word ID: 2989, Count: 1
Word ID: 2990, Count: 8
Word ID: 3006, Count: 1
Word ID: 3018, Count: 1
Word ID: 3019, Count: 1
Word ID: 3031, Count: 1
Word ID: 3039, Count: 1
Word ID: 3058, Count: 2
